-2.41,4.75
-7.38,101.68
3.31,16.96
5.43,55.08
-9.32,171.55
0.67,-4.91
-4.14,24.27
7.19,99.99
-1.83,-1.22
2.74,11.13
-5.96,65.34
-0.47,-5.92
4.87,45.03
-8.67,137.68
1.54,-0.84
-3.67,15.06
6.45,79.21
-2.99,7.47
0.09,-5.99
-6.84,88.46
3.78,24.94
-4.93,41.37
-1.17,-3.76
7.63,117.69
-0.74,-5.27
5.15,49.15
-3.15,8.23
2.16,5.13
-7.95,117.73
4.35,35.59
-5.32,50.71
0.94,-3.53
-8.19,124.11
3.03,12.22
-6.16,69.81
1.89,1.79
-4.59,34.34
7.88,123.77
-2.62,5.43
0.32,-5.68
-5.66,56.44
-0.23,-5.97
6.71,90.02
-3.97,22.87
2.48,7.97
-1.53,-2.57
8.92,151.42
-0.97,-5.12
4.03,29.12
-6.51,79.23
-1.02,-4.84
3.07,12.60
-6.02,66.37
5.73,63.74
-8.35,127.81
0.75,-4.74
-4.21,24.84
7.28,101.76
-1.91,-0.73
2.82,11.72
-5.88,63.79
-0.33,-5.90
4.92,45.87
-8.58,135.55
1.62,-0.52
-3.73,15.44
6.52,80.48
-3.05,7.75
0.17,-5.93
-6.78,87.12
3.83,25.70
-4.87,40.47
-1.23,-3.97
7.71,119.34
-0.81,-5.21
5.22,50.48
-3.22,8.48
2.23,5.56
-7.89,116.41
4.42,36.42
-5.25,49.44
0.87,-3.66
-8.06,121.19
3.11,12.83
-6.23,71.16
1.96,2.17
-4.65,35.06
7.95,125.38
-2.57,5.23
0.25,-5.63
-5.72,57.99
-0.16,-5.96
6.64,91.67
-3.89,22.36
2.54,8.31
-1.46,-2.72
8.84,149.11
-0.91,-5.03
4.11,29.89
-6.45,78.07
-1.77,-1.82
4.97,46.87
-6.83,88.21
3.21,17.51
-9.52,179.61
0.55,-5.13
-4.32,26.07
7.02,95.99
-1.61,-2.27
2.91,12.29
-5.91,64.49
-0.28,-5.95
4.78,43.72
-8.73,139.36
1.47,-1.01
-3.61,14.49
6.33,76.66
-3.11,8.05
0.03,-6.00
-6.69,86.24
3.91,26.38
-4.74,39.30
-1.31,-3.90
7.58,116.86
-0.77,-5.31
5.09,48.20
-3.28,8.75
2.31,5.98
-7.92,117.02
4.51,37.48
-5.18,47.96
0.91,-3.60
-8.12,122.44
3.09,12.76
-6.19,70.42
1.82,1.49
-4.58,34.24
7.82,122.27
-2.47,4.99
0.39,-5.54
-5.69,57.29
-0.11,-5.97
6.57,81.79
-3.82,21.67
2.41,7.52
-1.59,-2.34
8.76,146.81
-0.88,-5.07
4.07,29.52
-6.38,76.43
-2.02,-0.14
5.33,52.44
-7.21,98.34
3.39,19.10
-9.17,162.81
0.62,-4.87
-4.45,27.42
7.11,97.74
-1.74,-1.94
2.88,12.13
-5.84,63.21
-0.23,-5.97
4.71,42.63
-8.66,137.07
1.54,-0.84
-3.70,15.22
6.41,78.37
-3.08,7.86
0.09,-5.99
-6.72,86.77
3.88,26.84
-4.67,35.30
-1.27,-3.83
7.65,118.24
-0.84,-5.16
5.15,49.15
-3.25,8.62
2.27,5.77
-7.85,115.70
4.48,37.17
-5.22,50.09
0.84,-3.73
-8.09,121.81
3.15,13.03
-6.26,71.73
1.93,2.04
-4.61,34.66
7.90,124.00
-2.52,5.12
0.35,-5.60
-5.75,58.36
-0.18,-5.96
6.61,90.99
-3.85,21.92
2.44,7.69
-1.52,-2.59
8.81,148.46
-0.94,-5.11
4.14,30.16
-6.42,77.27
